date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2020-12-29,benfica,portimonense,2,1,H,1.2,6.5,12.0,9.0,8.0,8.0,3.0,4.0,3.0,6.0,1.0,12.0,11.0,3.0,3.0,5.0,2.0,1.0,8,average,below avg,above avg,weak,above avg x weak,home_dominant,home
2020-12-29,moreirense,santa clara,1,0,H,2.5,3.1,2.7,2.0,2.0,6.0,0.0,6.0,5.0,9.0,2.0,8.0,6.0,9.0,7.0,1.0,1.0,2.0,4,poor,below avg,weak,average,weak x average,balanced,balanced
2020-12-29,guimaraes,porto,2,3,A,4.2,4.0,1.65,12.0,9.0,5.0,4.0,12.0,12.0,7.0,4.0,6.0,2.0,7.0,11.0,2.0,5.0,25.0,32,good,good,above avg,strong,above avg x strong,away_dominant,away
2021-01-02,sporting,sp braga,2,0,H,2.0,3.6,3.5,13.0,11.0,4.0,4.0,12.0,12.0,5.0,4.0,13.0,12.0,12.0,13.0,22.0,2.0,10.0,34,excellent,good,strong,strong,strong x strong,home_dominant,home
2021-01-03,maritimo,boavista,0,0,D,2.6,3.0,2.9,6.0,7.0,7.0,2.0,3.0,3.0,8.0,0.0,7.0,5.0,4.0,5.0,9.0,5.0,6.0,20,below avg,poor,average,weak,average x weak,balanced,balanced
2021-01-03,pacos ferreira,rio ave,2,0,H,2.3,2.87,3.5,8.0,6.0,4.0,2.0,2.0,1.0,8.0,0.0,10.0,8.0,5.0,2.0,6.0,11.0,9.0,26,average,poor,average,weak,average x weak,balanced,home
2021-01-03,porto,moreirense,3,0,H,1.2,6.0,13.0,15.0,13.0,6.0,5.0,5.0,3.0,4.0,1.0,12.0,12.0,2.0,1.0,12.0,5.0,1.0,18,excellent,below avg,strong,weak,strong x weak,home_dominant,home
2021-01-03,tondela,famalicao,1,0,H,3.0,3.0,2.5,4.0,5.0,8.0,1.0,5.0,4.0,6.0,1.0,7.0,3.0,5.0,5.0,1.0,0.0,1.0,2,below avg,below avg,average,average,average x average,balanced,balanced
2021-01-04,santa clara,benfica,1,1,D,6.5,4.5,1.45,3.0,3.0,9.0,1.0,12.0,10.0,6.0,4.0,4.0,3.0,12.0,12.0,1.0,0.0,3.0,4,poor,good,weak,above avg,weak x above avg,balanced,away
2021-01-04,gil vicente,belenenses,0,0,D,2.15,3.1,3.75,7.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,7.0,5.0,5.0,1.0,5.0,2.0,5.0,12,average,below avg,average,weak,average x weak,balanced,home
